Adm Id,BR Id,Adm,PE,Site/Allotment Name,TV Channel / Freq Block,Notice Type,Plan,Intent,Frequency Range,Service Type
2024070401,124070945,ARS,1,HAQL,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202211281017,124059034,ARS,1,Qrayat,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202211281016,124059033,ARS,1,Qrayat,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202211281015,124059032,ARS,1,Qrayat,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202211281014,124059031,ARS,1,Qrayat,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202211281013,124059030,ARS,1,Qrayat,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202211281012,124059029,ARS,1,Qrayat,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221200,124059028,ARS,1,AL SAFANIA,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221159,124059027,ARS,1,AL SAFANIA,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221158,124059026,ARS,1,AL SAFANIA,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221157,124059025,ARS,1,AL SAFANIA,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221156,124059024,ARS,1,AL SAFANIA,12D,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221107,124059023,ARS,1,ABU ALI,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221106,124059022,ARS,1,ABU ALI,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221105,124059021,ARS,1,ABU ALI,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221103,124059020,ARS,1,ABU ALI,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221104,124059019,ARS,1,ABU ALI,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221101,124059018,ARS,1,ABU ALI,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221102,124059017,ARS,1,ABU ALI,12D,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221100,124059016,ARS,1,ABU ALI,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221420,124059015,ARS,1,DAMMAM,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221419,124059014,ARS,1,DAMMAM,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221418,124059013,ARS,1,DAMMAM,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221417,124059012,ARS,1,DAMMAM,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221416,124059011,ARS,1,DAMMAM,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221415,124059010,ARS,1,DAMMAM,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221414,124059009,ARS,1,DAMMAM,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221413,124059008,ARS,1,DAMMAM,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221412,124059007,ARS,1,ALKHAFJI,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221411,124059006,ARS,1,ALKHAFJI,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221410,124059005,ARS,1,ALKHAFJI,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221409,124059004,ARS,1,ALKHAFJI,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221408,124059003,ARS,1,ALKHAFJI,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221407,124059002,ARS,1,ALKHAFJI,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221406,124059001,ARS,1,ALKHAFJI,12A,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2022112810560,123058491,ARS,1,AL MUWAYLIH,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221453,123058490,ARS,1,JUBAIL,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221452,123058489,ARS,1,JUBAIL,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221451,123058488,ARS,1,JUBAIL,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221448,123058487,ARS,1,JUBAIL,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221450,123058486,ARS,1,JUBAIL,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221449,123058485,ARS,1,JUBAIL,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221447,123058484,ARS,1,JUBAIL,11A,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221446,123058483,ARS,1,JEBEL SAUDA,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221445,123058482,ARS,1,JEBEL SAUDA,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221444,123058481,ARS,1,JEBEL SAUDA,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221443,123058480,ARS,1,JEBEL SAUDA,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221442,123058479,ARS,1,JEBEL SAUDA,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221441,123058478,ARS,1,JEBEL SAUDA,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221433,123058477,ARS,1,DUBA,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221432,123058476,ARS,1,DUBA,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221431,123058475,ARS,1,DUBA,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221430,123058474,ARS,1,DUBA,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221429,123058473,ARS,1,DUBA,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221428,123058472,ARS,1,DHAHRAN,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221427,123058471,ARS,1,DHAHRAN,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221426,123058470,ARS,1,DHAHRAN,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221425,123058469,ARS,1,DHAHRAN,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221424,123058468,ARS,1,DHAHRAN,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221423,123058467,ARS,1,DHAHRAN,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221422,123058466,ARS,1,DHAHRAN,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221421,123058465,ARS,1,DHAHRAN,12C,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202211281056,123058464,ARS,1,AL MUWAYLIH,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202211281055,123058463,ARS,1,AL MUWAYLIH,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202211281054,123058462,ARS,1,AL MUWAYLIH,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202211281053,123058461,ARS,1,AL MUWAYLIH,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202211281052,123058460,ARS,1,AL MUWAYLIH,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202211281051,123058459,ARS,1,AL MUWAYLIH,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202211281050,123058458,ARS,1,AL MUWAYLIH,12C,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202211281049,123058457,ARS,1,AL KATEEF,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202211281048,123058456,ARS,1,AL KATEEF,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202211281047,123058455,ARS,1,AL KATEEF,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202211281046,123058454,ARS,1,AL KATEEF,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202211281045,123058453,ARS,1,AL KATEEF,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202211281044,123058452,ARS,1,AL KATEEF,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
20221201447,123058451,ARS,1,TABBARJAL,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
20221201446,123058450,ARS,1,TABBARJAL,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
20221201445,123058449,ARS,1,TABBARJAL,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
20221201444,123058448,ARS,1,TABBARJAL,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
20221201443,123058447,ARS,1,TABBARJAL,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
20221201442,123058446,ARS,1,TABBARJAL,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
20221201441,123058445,ARS,1,TABBARJAL,11A,GS1,GE06D,Recorded,216-223,T-DAB Assignment
20221201440,123058444,ARS,1,SHAROURAH,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
20221201439,123058443,ARS,1,SHAROURAH,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
20221201438,123058442,ARS,1,SHAROURAH,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
20221201437,123058441,ARS,1,SHAROURAH,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
20221201436,123058440,ARS,1,SHAROURAH,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
20221201435,123058439,ARS,1,SHAROURAH,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
20221201434,123058438,ARS,1,SHAROURAH,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
20221201433,123058437,ARS,1,RAFHA,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
20221201432,123058436,ARS,1,RAFHA,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
20221201431,123058435,ARS,1,RAFHA,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
20221201430,123058434,ARS,1,RAFHA,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
20221201429,123058433,ARS,1,RAFHA,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
20221201428,123058432,ARS,1,RAFHA,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
20221201420,123058431,ARS,1,GIZAN,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
20221201419,123058430,ARS,1,GIZAN,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
20221201418,123058429,ARS,1,GIZAN,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
20221201417,123058428,ARS,1,GIZAN,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
20221201416,123058427,ARS,1,GIZAN,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
20221201415,123058426,ARS,1,GIZAN,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
20221201414,123058425,ARS,1,GIZAN,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221330,123025280,ARS,1,SAMTAH,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221329,123025279,ARS,1,SAMTAH,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221328,123025278,ARS,1,SAMTAH,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221327,123025277,ARS,1,SAMTAH,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221326,123025276,ARS,1,SAMTAH,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221325,123025275,ARS,1,SAMTAH,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221324,123025274,ARS,1,SAMTAH,11A,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221323,123025273,ARS,1,SAMTAH,12A,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202302281407,123025272,ARS,1,QAABA,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202302281406,123025271,ARS,1,QAABA,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202302281405,123025270,ARS,1,QAABA,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202302281404,123025269,ARS,1,QAABA,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202302281403,123025268,ARS,1,QAABA,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202302281402,123025267,ARS,1,QAABA,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202302281401,123025266,ARS,1,QAABA,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202302281400,123025265,ARS,1,QAABA,12D,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221541,123025264,ARS,1,ZAHRAN AL AMDAH,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221540,123025263,ARS,1,ZAHRAN AL AMDAH,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221539,123025262,ARS,1,ZAHRAN AL AMDAH,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221538,123025261,ARS,1,ZAHRAN AL AMDAH,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221537,123025260,ARS,1,ZAHRAN AL AMDAH,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221536,123025259,ARS,1,ZAHRAN AL AMDAH,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221535,123025258,ARS,1,ZAHRAN AL AMDAH,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221534,123025257,ARS,1,YANBU,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221533,123025256,ARS,1,YANBU,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221532,123025255,ARS,1,YANBU,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221531,123025254,ARS,1,YANBU,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221530,123025253,ARS,1,YANBU,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221529,123025252,ARS,1,YANBU,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221528,123025251,ARS,1,WADI ALFARAA,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221527,123025250,ARS,1,WADI ALFARAA,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221526,123025249,ARS,1,WADI ALFARAA,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221525,123025248,ARS,1,WADI ALFARAA,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221524,123025247,ARS,1,WADI ALFARAA,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221523,123025246,ARS,1,WADI ALFARAA,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221522,123025245,ARS,1,WADI ALFARAA,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221521,123025244,ARS,1,WADI ALFARAA,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221520,123025243,ARS,1,UM LUJJ,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221519,123025242,ARS,1,UM LUJJ,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221518,123025241,ARS,1,UM LUJJ,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221517,123025240,ARS,1,UM LUJJ,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221516,123025239,ARS,1,UM LUJJ,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221515,123025238,ARS,1,UM LUJJ,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221506,123025237,ARS,1,NAJRAN,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221507,123025236,ARS,1,NAJRAN,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221505,123025235,ARS,1,NAJRAN,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221504,123025234,ARS,1,NAJRAN,9A,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221503,123025233,ARS,1,NAJRAN,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221502,123025232,ARS,1,NAJRAN,11A,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221501,123025231,ARS,1,NAJRAN,12A,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221405,123025230,ARS,1,AL WAJH,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221402,123025229,ARS,1,AL WAJH,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221403,123025228,ARS,1,AL WAJH,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221404,123025227,ARS,1,AL WAJH,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221401,123025226,ARS,1,AL WAJH,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221400,123025225,ARS,1,AL WAJH,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221353,123025224,ARS,1,TURAIF,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221352,123025223,ARS,1,TURAIF,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221351,123025222,ARS,1,TURAIF,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221350,123025221,ARS,1,TURAIF,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221349,123025220,ARS,1,TURAIF,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221348,123025219,ARS,1,TURAIF,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221347,123025218,ARS,1,TURAIF,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221346,123025217,ARS,1,TURAIF,12C,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221345,123025216,ARS,1,SHIBAH,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221344,123025215,ARS,1,SHIBAH,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221343,123025214,ARS,1,SHIBAH,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221342,123025213,ARS,1,SHIBAH,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221341,123025212,ARS,1,SHIBAH,10A,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221340,123025211,ARS,1,SHIBAH,11A,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221339,123025210,ARS,1,SHIBAH,12A,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221338,123025209,ARS,1,SHEIBA,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221337,123025208,ARS,1,SHEIBA,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221336,123025207,ARS,1,SHEIBA,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221335,123025206,ARS,1,SHEIBA,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221334,123025205,ARS,1,SHEIBA,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221333,123025204,ARS,1,SHEIBA,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221332,123025203,ARS,1,SHEIBA,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221331,123025202,ARS,1,SHEIBA,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221322,123025201,ARS,1,RABIGH,5C,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221321,123025200,ARS,1,RABIGH,6C,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221320,123025199,ARS,1,RABIGH,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221319,123025198,ARS,1,RABIGH,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221318,123025197,ARS,1,RABIGH,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221317,123025196,ARS,1,RABIGH,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221316,123025195,ARS,1,RABIGH,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221315,123025194,ARS,1,RABIGH,12C,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221314,123025193,ARS,1,Neom,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221313,123025192,ARS,1,Neom,6D,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221312,123025191,ARS,1,Neom,7D,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221311,123025190,ARS,1,Neom,8D,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221310,123025189,ARS,1,Neom,9D,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221309,123025188,ARS,1,Neom,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221308,123025187,ARS,1,Neom,11D,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221307,123025186,ARS,1,Neom,12D,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221306,123025185,ARS,1,KING KHALED CITY,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221305,123025184,ARS,1,KING KHALED CITY,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221304,123025183,ARS,1,KING KHALED CITY,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221303,123025182,ARS,1,KING KHALED CITY,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221302,123025181,ARS,1,KING KHALED CITY,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221301,123025180,ARS,1,KING KHALED CITY,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221300,123025179,ARS,1,KING KHALED CITY,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221259,123025178,ARS,1,KING KHALED CITY,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221258,123025177,ARS,1,KAMEIS MESHAIT,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221257,123025176,ARS,1,KAMEIS MESHAIT,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221256,123025175,ARS,1,KAMEIS MESHAIT,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221255,123025174,ARS,1,KAMEIS MESHAIT,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221254,123025173,ARS,1,KAMEIS MESHAIT,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221253,123025172,ARS,1,KAMEIS MESHAIT,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221252,123025171,ARS,1,KAMEIS MESHAIT,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221251,123025170,ARS,1,KAMEIS MESHAIT,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221250,123025169,ARS,1,JEDDAH,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221249,123025168,ARS,1,JEDDAH,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221248,123025167,ARS,1,JEDDAH,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221247,123025166,ARS,1,JEDDAH,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
202301221246,123025165,ARS,1,JEDDAH,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
202301221245,123025164,ARS,1,JEDDAH,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
202301221244,123025163,ARS,1,JEDDAH,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
202301221243,123025162,ARS,1,JEDDAH,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202301221242,123025161,ARS,1,JEDDAH,5A,GS1,GE06D,Recorded,174-181,T-DAB Assignment
202301221241,123025160,ARS,1,JEDDAH,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
202301221240,123025159,ARS,1,JEDDAH,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
202301221239,123025158,ARS,1,JEDDAH,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
